t_ms,pan_deg,tilt_deg,nod_deg,pan_unit,tilt_unit,nod_unit,led
0,0.0,-8.0,-42.0,512,484,368,10
33,0.0,-8.0,-42.0,512,484,368,10
67,0.0,-8.0,-42.0,512,484,368,10
100,0.0,-8.0,-42.0,512,484,368,10
133,0.0,-8.0,-42.0,512,484,368,11
167,0.0,-8.0,-42.0,512,484,368,11
200,0.0,-8.0,-42.0,512,484,368,12
233,0.0,-8.0,-42.0,512,484,368,13
267,0.0,-8.0,-42.0,512,484,368,14
300,0.0,-8.0,-42.0,512,484,368,15
333,0.0,-8.0,-42.0,512,484,368,16
367,0.0,-8.0,-42.0,512,484,368,17
400,0.0,-8.0,-42.0,512,484,368,19
433,0.0,-8.0,-42.0,512,484,368,20
467,0.0,-8.0,-42.0,512,484,368,22
500,0.0,-8.0,-42.0,512,484,368,23
533,0.0,-8.0,-42.0,512,484,368,25
567,0.0,-8.0,-42.0,512,484,368,27
600,0.0,-8.0,-42.0,512,484,368,29
633,0.0,-8.0,-42.0,512,484,368,31
667,0.0,-8.0,-42.0,512,484,368,33
700,0.0,-8.0,-42.0,512,484,368,35
733,0.0,-8.0,-42.0,512,484,368,37
767,0.0,-8.0,-42.0,512,484,368,39
800,0.0,-8.0,-42.0,512,484,368,41
833,0.0,-8.0,-42.0,512,484,368,44
867,0.0,-8.0,-42.0,512,484,368,46
900,0.0,-8.0,-42.0,512,484,368,48
933,0.0,-8.0,-42.0,512,484,368,50
967,0.0,-8.0,-42.0,512,484,368,52
1000,0.0,-8.0,-42.0,512,484,368,54
1033,0.0,-8.0,-42.0,512,484,368,56
1067,0.0,-8.0,-42.0,512,484,368,58
1100,0.0,-8.0,-42.0,512,484,368,60
1133,0.0,-8.0,-42.0,512,484,368,62
1167,0.0,-8.0,-42.0,512,484,368,64
1200,0.0,-8.0,-42.0,512,484,368,66
1233,0.0,-8.0,-42.0,512,484,368,67
1267,0.0,-8.0,-42.0,512,484,368,69
1300,0.0,-8.0,-42.0,512,484,368,71
1333,0.0,-8.0,-42.0,512,484,368,72
1367,0.0,-8.0,-42.0,512,484,368,73
1400,0.0,-8.0,-42.0,512,484,368,74
1433,0.0,-8.0,-42.0,512,484,368,76
1467,0.0,-8.0,-42.0,512,484,368,76
1500,0.0,-8.0,-42.0,512,484,368,77
1533,0.0,-8.0,-42.0,512,484,368,78
1567,0.0,-8.0,-42.0,512,484,368,79
1600,0.0,-8.0,-42.0,512,484,368,79
1633,0.0,-8.0,-42.0,512,484,368,79
1667,0.0,-8.0,-42.0,512,484,368,80
1700,0.0,-8.0,-42.0,512,484,368,80
1733,0.0,-8.0,-42.0,512,484,368,80
1767,0.0,-8.0,-42.0,512,484,368,80
1800,0.0,-8.0,-42.0,512,484,368,80
1833,0.0,-8.0,-42.0,512,484,368,79
1867,0.0,-8.0,-42.0,512,484,368,79
1900,0.0,-8.0,-42.0,512,484,368,79
1933,0.0,-8.0,-42.0,512,484,368,79
1967,0.0,-8.0,-42.0,512,484,368,79
2000,0.0,-8.0,-42.0,512,484,368,78
2033,0.0,-8.0,-42.0,512,484,368,78
2067,0.0,-8.0,-42.0,512,484,368,78
2100,0.0,-8.0,-42.0,512,484,368,77
2133,0.0,-8.0,-42.0,512,484,368,77
2167,0.0,-8.0,-42.0,512,484,368,76
2200,0.0,-8.0,-42.0,512,484,368,76
2233,0.0,-8.0,-42.0,512,484,368,75
2267,0.0,-8.0,-42.0,512,484,368,75
2300,0.0,-8.0,-42.0,512,484,368,74
2333,0.0,-8.0,-42.0,512,484,368,74
2367,0.0,-8.0,-42.0,512,484,368,73
2400,0.0,-8.0,-42.0,512,484,368,72
2433,0.0,-8.0,-42.0,512,484,368,71
2467,0.0,-8.0,-42.0,512,484,368,71
2500,0.0,-8.0,-42.0,512,484,368,70
2533,0.0,-8.0,-42.0,512,484,368,69
2567,0.0,-8.0,-42.0,512,484,368,68
2600,0.0,-8.0,-42.0,512,484,368,68
2633,0.0,-8.0,-42.0,512,484,368,67
2667,0.0,-8.0,-42.0,512,484,368,66
2700,0.0,-8.0,-42.0,512,484,368,65
2733,0.0,-8.0,-42.0,512,484,368,64
2767,0.0,-8.0,-42.0,512,484,368,63
2800,0.0,-8.0,-42.0,512,484,368,62
2833,0.0,-8.0,-42.0,512,484,368,61
2867,0.0,-8.0,-42.0,512,484,368,60
2900,0.0,-8.0,-42.0,512,484,368,59
2933,0.0,-8.0,-42.0,512,484,368,58
2967,0.0,-8.0,-42.0,512,484,368,57
3000,0.0,-8.0,-42.0,512,484,368,56
3033,0.0,-8.0,-42.0,512,484,368,55
3067,0.0,-8.0,-42.0,512,484,368,54
3100,0.0,-8.0,-42.0,512,484,368,53
