t_ms,pan_deg,tilt_deg,nod_deg,pan_unit,tilt_unit,nod_unit,led
0,0.0,-8.0,-42.0,512,484,368,10
33,0.0,-8.0,-42.0,512,484,368,10
67,0.0,-8.0,-42.0,512,484,368,10
100,0.0,-8.0,-42.0,512,484,368,10
133,0.0,-8.0,-42.0,512,484,368,10
167,0.0,-8.0,-42.0,512,484,368,10
200,0.0,-8.0,-42.0,512,484,368,10
233,0.0,-7.97,-41.88,512,484,369,10
267,0.0,-7.77,-41.15,512,485,371,10
300,0.0,-7.3,-39.45,512,487,377,11
333,0.0,-6.54,-36.64,512,489,387,13
367,0.0,-5.48,-32.77,512,493,400,16
400,0.0,-4.19,-28.03,512,497,416,19
433,0.0,-2.75,-22.74,512,502,434,22
467,0.0,-1.25,-17.26,512,507,453,26
500,0.0,0.19,-11.97,512,512,471,29
533,-0.02,1.48,-7.23,511,517,487,32
567,-0.15,2.54,-3.36,511,520,500,35
600,-0.48,3.3,-0.55,510,523,510,37
633,-1.06,3.77,1.15,508,524,515,38
667,-1.94,3.97,1.88,505,525,518,38
700,-3.11,4.0,2.0,501,525,518,38
733,-4.57,4.0,2.0,496,525,518,38
767,-6.3,4.0,2.0,490,525,518,38
800,-8.26,4.0,2.0,483,525,518,38
833,-10.4,4.0,2.0,476,525,518,38
867,-12.67,4.0,2.0,468,525,518,38
900,-15.0,4.0,2.0,460,525,518,38
933,-17.33,3.95,2.02,452,525,518,38
967,-19.6,3.63,2.18,445,524,519,38
1000,-21.74,2.86,2.59,437,521,520,39
1033,-23.7,1.55,3.31,431,517,523,40
1067,-25.43,-0.32,4.41,425,510,527,41
1100,-26.89,-2.72,5.9,420,502,532,43
1133,-28.06,-5.55,7.79,416,493,538,45
1167,-28.94,-8.69,10.07,413,482,546,47
1200,-29.52,-12.0,12.7,411,471,555,50
1233,-29.85,-15.31,15.65,410,459,565,54
1267,-29.98,-18.45,18.85,409,449,576,57
1300,-30.0,-21.28,22.23,409,439,587,61
1333,-30.0,-23.68,25.73,409,431,599,65
1367,-30.0,-25.55,29.27,409,424,611,69
1400,-30.0,-26.86,32.77,409,420,623,73
1433,-30.0,-27.63,36.15,409,417,635,77
1467,-30.0,-27.95,39.35,409,416,646,80
1500,-30.0,-28.0,42.3,409,416,656,84
1533,-30.0,-28.0,44.93,409,416,665,87
1567,-30.0,-28.0,47.21,409,416,672,89
1600,-30.0,-28.0,49.1,409,416,679,91
1633,-30.0,-28.0,50.59,409,416,684,93
1667,-30.0,-28.0,51.69,409,416,688,94
1700,-30.0,-28.0,52.41,409,416,690,95
1733,-30.0,-28.0,52.82,409,416,692,95
1767,-30.0,-28.0,52.98,409,416,692,96
1800,-30.0,-28.0,53.0,409,416,692,96
1833,-30.0,-28.0,53.0,409,416,692,96
1867,-30.0,-28.0,53.0,409,416,692,96
1900,-30.0,-28.0,53.0,409,416,692,96
1933,-30.0,-28.0,53.0,409,416,692,96
1967,-30.0,-28.0,53.0,409,416,692,96
