t_ms,pan_deg,tilt_deg,nod_deg,pan_unit,tilt_unit,nod_unit,led
0,-30.0,-28.0,53.0,409,416,692,96
33,-30.0,-28.0,53.0,409,416,692,96
67,-30.0,-28.0,53.0,409,416,692,96
100,-30.0,-28.0,53.0,409,416,692,96
133,-30.0,-28.0,53.0,409,416,692,96
167,-30.0,-28.0,53.0,409,416,692,96
200,-30.0,-28.0,53.0,409,416,692,96
233,-30.0,-28.0,52.36,409,416,690,99
267,-30.0,-28.0,49.22,409,416,679,116
300,-30.0,-28.0,44.0,409,416,662,143
333,-30.0,-28.0,38.78,409,416,644,171
367,-30.0,-28.0,35.64,409,416,633,188
400,-30.0,-28.0,35.0,409,416,631,191
433,-30.0,-28.0,35.64,409,416,633,188
467,-30.0,-28.0,38.78,409,416,644,171
500,-30.0,-28.0,44.0,409,416,662,143
533,-30.0,-28.0,49.22,409,416,679,116
567,-30.0,-28.0,52.36,409,416,690,99
600,-30.0,-28.0,53.0,409,416,692,96
633,-30.0,-28.0,52.65,409,416,691,96
667,-30.0,-28.0,50.94,409,416,685,96
700,-30.0,-28.0,48.09,409,416,675,96
733,-30.0,-28.0,45.25,409,416,666,96
767,-30.0,-28.0,43.54,409,416,660,96
800,-30.0,-28.0,43.19,409,416,659,96
833,-30.0,-28.0,43.54,409,416,660,96
867,-30.0,-28.0,45.25,409,416,666,96
900,-30.0,-27.96,48.02,409,416,675,96
933,-30.0,-27.68,50.35,409,417,683,96
967,-30.0,-27.01,50.78,409,419,685,96
1000,-30.0,-25.86,48.95,409,423,678,96
1033,-30.0,-24.22,45.85,409,429,668,96
1067,-30.0,-22.12,41.88,409,436,654,96
1100,-30.0,-19.64,37.18,409,445,638,96
1133,-30.0,-16.89,31.98,409,454,621,96
1167,-30.0,-14.0,26.5,409,464,602,96
1200,-30.0,-11.11,21.02,409,474,583,96
1233,-30.0,-8.36,15.82,409,483,565,96
1267,-30.0,-5.88,11.12,409,491,549,96
1300,-30.0,-3.78,7.15,409,499,536,96
1333,-30.0,-2.14,4.05,409,504,525,96
1367,-30.0,-0.99,1.88,409,508,518,96
1400,-30.0,-0.32,0.61,409,510,514,96
1433,-30.0,-0.04,0.08,409,511,512,96
1467,-30.0,0.0,0.0,409,512,512,96
1500,-30.0,0.0,0.0,409,512,512,96
1533,-30.0,0.0,0.0,409,512,512,96
1567,-30.0,0.0,0.0,409,512,512,96
1600,-30.0,0.0,0.0,409,512,512,96
1633,-30.0,0.0,0.0,409,512,512,96
