t_ms,pan_deg,tilt_deg,nod_deg,pan_unit,tilt_unit,nod_unit,led
0,60.0,0.0,0.0,716,512,512,32
33,60.0,0.0,0.0,716,512,512,32
67,60.0,0.0,0.0,716,512,512,32
100,60.0,0.0,0.0,716,512,512,32
133,60.0,0.0,0.0,716,512,512,32
167,60.0,0.0,0.0,716,512,512,32
200,60.0,0.0,0.0,716,512,512,32
233,60.0,0.0,0.0,716,512,512,32
267,60.0,0.0,0.0,716,512,512,128
300,60.0,0.0,0.0,716,512,512,223
333,60.0,0.0,0.0,716,512,512,174
367,60.0,0.0,0.0,716,512,512,81
400,60.0,0.0,0.0,716,512,512,32
433,60.0,0.0,0.0,716,512,512,32
467,60.0,0.0,0.0,716,512,512,32
500,60.0,0.0,0.0,716,512,512,32
533,60.0,0.0,0.0,716,512,512,32
567,60.0,0.0,0.0,716,512,512,32
600,60.0,0.0,0.0,716,512,512,32
633,59.41,0.0,0.0,714,512,512,32
667,57.78,0.0,0.0,709,512,512,32
700,55.31,0.0,0.0,700,512,512,32
733,52.22,0.0,0.0,690,512,512,32
767,48.72,0.0,0.0,678,512,512,32
800,45.0,0.0,0.0,665,512,512,32
833,41.28,0.0,0.0,652,512,512,32
867,37.78,0.0,0.0,640,512,512,32
900,34.69,0.0,0.0,630,512,512,32
933,32.22,0.0,0.0,621,512,512,32
967,30.59,0.0,0.0,616,512,512,32
1000,30.0,0.0,0.0,614,512,512,32
1033,30.0,0.0,0.0,614,512,512,32
1067,30.0,0.0,0.0,614,512,512,32
1100,30.0,0.0,0.0,614,512,512,32
1133,30.0,0.0,0.0,614,512,512,32
1167,30.0,0.0,0.0,614,512,512,32
1200,30.0,0.0,0.0,614,512,512,32
1233,30.0,0.0,0.0,614,512,512,32
1267,30.0,0.0,0.0,614,512,512,128
1300,30.0,0.0,0.0,614,512,512,223
1333,30.0,0.0,0.0,614,512,512,174
1367,30.0,0.0,0.0,614,512,512,81
1400,30.0,0.0,0.0,614,512,512,32
1433,30.0,0.0,0.0,614,512,512,32
1467,30.0,0.0,0.0,614,512,512,32
1500,30.0,0.0,0.0,614,512,512,32
1533,30.0,0.0,0.0,614,512,512,32
1567,30.0,0.0,0.0,614,512,512,32
1600,30.0,0.0,0.0,614,512,512,32
1633,29.41,0.0,0.0,612,512,512,32
1667,27.78,0.0,0.0,606,512,512,32
1700,25.31,0.0,0.0,598,512,512,32
1733,22.22,0.0,0.0,587,512,512,32
1767,18.72,0.0,0.0,575,512,512,32
1800,15.0,0.0,0.0,563,512,512,32
1833,11.28,0.0,0.0,550,512,512,32
1867,7.78,0.0,0.0,538,512,512,32
1900,4.69,0.0,0.0,527,512,512,32
1933,2.22,0.0,0.0,519,512,512,32
1967,0.59,0.0,0.0,514,512,512,32
2000,0.0,0.0,0.0,512,512,512,32
2033,0.0,0.0,0.0,512,512,512,32
2067,0.0,0.0,0.0,512,512,512,32
2100,0.0,0.0,0.0,512,512,512,32
2133,0.0,0.0,0.0,512,512,512,32
2167,0.0,0.0,0.0,512,512,512,32
2200,0.0,0.0,0.0,512,512,512,32
2233,0.0,0.0,0.0,512,512,512,32
2267,0.0,0.0,0.0,512,512,512,128
2300,0.0,0.0,0.0,512,512,512,223
2333,0.0,0.0,0.0,512,512,512,174
2367,0.0,0.0,0.0,512,512,512,81
2400,0.0,0.0,0.0,512,512,512,32
2433,0.0,0.0,0.0,512,512,512,32
2467,0.0,0.0,0.0,512,512,512,32
2500,0.0,0.0,0.0,512,512,512,32
2533,0.0,0.0,0.0,512,512,512,32
2567,0.0,0.0,0.0,512,512,512,32
2600,0.0,0.0,0.0,512,512,512,32
2633,-0.59,0.0,0.0,509,512,512,32
2667,-2.22,0.0,0.0,504,512,512,32
2700,-4.69,0.0,0.0,496,512,512,32
2733,-7.78,0.0,0.0,485,512,512,32
2767,-11.28,0.0,0.0,473,512,512,32
2800,-15.0,0.0,0.0,460,512,512,32
2833,-18.72,0.0,0.0,448,512,512,32
2867,-22.22,0.0,0.0,436,512,512,32
2900,-25.31,0.0,0.0,425,512,512,32
2933,-27.78,0.0,0.0,417,512,512,32
2967,-29.41,0.0,0.0,411,512,512,32
3000,-30.0,0.0,0.0,409,512,512,32
3033,-30.0,0.0,0.0,409,512,512,32
3067,-30.0,0.0,0.0,409,512,512,32
3100,-30.0,0.0,0.0,409,512,512,32
3133,-30.0,0.0,0.0,409,512,512,32
3167,-30.0,0.0,0.0,409,512,512,32
3200,-30.0,0.0,0.0,409,512,512,32
3233,-30.0,0.0,0.0,409,512,512,32
3267,-30.0,0.0,0.0,409,512,512,128
3300,-30.0,0.0,0.0,409,512,512,223
3333,-30.0,0.0,0.0,409,512,512,174
3367,-30.0,0.0,0.0,409,512,512,81
3400,-30.0,0.0,0.0,409,512,512,32
3433,-30.0,0.0,0.0,409,512,512,32
3467,-30.0,0.0,0.0,409,512,512,32
3500,-30.0,0.0,0.0,409,512,512,32
3533,-30.0,0.0,0.0,409,512,512,32
3567,-30.0,0.0,0.0,409,512,512,32
3600,-30.0,0.0,0.0,409,512,512,32
3633,-30.59,0.0,0.0,407,512,512,32
3667,-32.22,0.0,0.0,402,512,512,32
3700,-34.69,0.0,0.0,393,512,512,32
3733,-37.78,0.0,0.0,383,512,512,32
3767,-41.28,0.0,0.0,371,512,512,32
3800,-45.0,0.0,0.0,358,512,512,32
3833,-48.72,0.0,0.0,345,512,512,32
3867,-52.22,0.0,0.0,333,512,512,32
3900,-55.31,0.0,0.0,323,512,512,32
3933,-57.78,0.0,0.0,314,512,512,32
3967,-59.41,0.0,0.0,309,512,512,32
4000,-60.0,0.0,0.0,307,512,512,32
4033,-60.0,0.0,0.0,307,512,512,32
4067,-60.0,0.0,0.0,307,512,512,32
4100,-60.0,0.0,0.0,307,512,512,32
4133,-60.0,0.0,0.0,307,512,512,32
4167,-60.0,0.0,0.0,307,512,512,32
4200,-60.0,0.0,0.0,307,512,512,32
4233,-60.0,0.0,0.0,307,512,512,32
4267,-60.0,0.0,0.0,307,512,512,128
4300,-60.0,0.0,0.0,307,512,512,223
4333,-60.0,0.0,0.0,307,512,512,174
4367,-60.0,0.0,0.0,307,512,512,81
4400,-60.0,0.0,0.0,307,512,512,32
4433,-60.0,0.0,0.0,307,512,512,32
4467,-60.0,0.0,0.0,307,512,512,32
4500,-60.0,0.0,0.0,307,512,512,32
4533,-60.0,0.0,0.0,307,512,512,32
4567,-60.0,0.0,0.0,307,512,512,32
4600,-60.0,0.0,0.0,307,512,512,32
4633,-59.87,0.0,0.0,307,512,512,32
4667,-59.5,0.0,0.0,309,512,512,32
4700,-58.89,0.0,0.0,311,512,512,32
4733,-58.07,0.0,0.0,313,512,512,32
4767,-57.03,0.0,0.0,317,512,512,32
4800,-55.79,0.0,0.0,321,512,512,32
4833,-54.36,0.0,0.0,326,512,512,32
4867,-52.76,0.0,0.0,332,512,512,32
4900,-50.99,0.0,0.0,338,512,512,32
4933,-49.07,0.0,0.0,344,512,512,32
4967,-47.01,0.0,0.0,351,512,512,32
5000,-44.82,0.0,0.0,359,512,512,32
5033,-42.52,0.0,0.0,367,512,512,32
5067,-40.1,0.0,0.0,375,512,512,32
5100,-37.59,0.0,0.0,383,512,512,32
5133,-35.0,0.0,0.0,392,512,512,32
5167,-32.34,0.0,0.0,401,512,512,32
5200,-29.62,0.0,0.0,410,512,512,32
5233,-26.84,0.0,0.0,420,512,512,32
5267,-24.04,0.0,0.0,430,512,512,32
5300,-21.2,0.0,0.0,439,512,512,32
5333,-18.36,0.0,0.0,449,512,512,32
5367,-15.51,0.0,0.0,459,512,512,32
5400,-12.67,0.0,0.0,468,512,512,32
5433,-9.85,0.0,0.0,478,512,512,32
5467,-7.07,0.0,0.0,487,512,512,32
5500,-4.33,0.0,0.0,497,512,512,32
5533,-1.65,0.0,0.0,506,512,512,32
5567,0.97,0.0,0.0,515,512,512,32
5600,3.5,0.0,0.0,523,512,512,32
5633,5.95,0.0,0.0,532,512,512,32
5667,8.29,0.0,0.0,540,512,512,32
5700,10.52,0.0,0.0,547,512,512,32
5733,12.62,0.0,0.0,555,512,512,32
5767,14.58,0.0,0.0,561,512,512,32
5800,16.4,0.0,0.0,567,512,512,32
5833,18.05,0.0,0.0,573,512,512,32
5867,19.53,0.0,0.0,578,512,512,32
5900,20.83,0.0,0.0,583,512,512,32
5933,21.93,0.0,0.0,586,512,512,32
5967,22.82,0.0,0.0,589,512,512,32
6000,23.5,0.0,0.0,592,512,512,32
6033,24.0,-0.24,0.0,593,511,512,32
6067,24.37,-0.89,0.0,595,508,512,33
6100,24.63,-1.88,0.0,595,505,512,35
6133,24.81,-3.11,0.0,596,501,512,37
6167,24.92,-4.51,0.0,596,496,512,39
6200,24.98,-6.0,0.0,597,491,512,42
6233,25.0,-7.49,0.0,597,486,512,45
6267,25.0,-8.89,0.0,597,481,512,48
6300,25.0,-10.13,0.0,597,477,512,52
6333,25.0,-11.11,0.0,597,474,512,56
6367,25.0,-11.76,0.22,597,471,512,60
6400,25.0,-12.0,0.83,597,471,514,64
6433,25.0,-12.0,1.77,597,471,518,68
6467,25.0,-12.0,2.97,597,471,522,72
6500,25.0,-12.0,4.37,597,471,526,75
6533,25.0,-12.0,5.9,597,471,532,79
6567,25.0,-12.0,7.5,597,471,537,83
6600,25.0,-12.0,9.1,597,471,543,86
6633,25.0,-12.0,10.63,597,471,548,88
6667,25.0,-12.0,12.03,597,471,553,91
6700,25.0,-12.0,13.23,597,471,557,93
6733,25.0,-12.0,14.17,597,471,560,94
6767,25.0,-12.0,14.78,597,471,562,95
6800,25.0,-12.0,15.0,597,471,563,96
6833,25.0,-12.0,15.0,597,471,563,96
6867,25.0,-12.0,15.0,597,471,563,96
6900,25.0,-12.0,15.0,597,471,563,96
6933,25.0,-12.0,15.0,597,471,563,96
6967,25.0,-12.0,15.0,597,471,563,96
7000,25.0,-12.0,15.0,597,471,563,96
7033,25.0,-12.0,15.0,597,471,563,96
7067,25.0,-12.0,15.0,597,471,563,96
7100,25.0,-12.0,15.0,597,471,563,96
7133,25.0,-12.0,15.0,597,471,563,96
