t_ms,pan_deg,tilt_deg,nod_deg,pan_unit,tilt_unit,nod_unit,led
0,25.0,0.0,0.0,597,512,512,26
33,25.0,0.0,0.0,597,512,512,26
67,25.0,0.0,0.0,597,512,512,26
100,25.0,0.0,0.0,597,512,512,26
133,25.0,0.0,0.0,597,512,512,26
167,25.0,0.0,0.0,597,512,512,26
200,25.0,0.0,0.0,597,512,512,26
233,25.0,-0.05,0.05,597,511,512,26
267,25.0,-0.31,0.31,597,510,513,26
300,25.0,-0.93,0.93,597,508,515,26
333,25.0,-1.95,1.95,597,505,518,26
367,25.0,-3.36,3.36,597,500,523,26
400,25.0,-5.08,5.08,597,494,529,26
433,25.0,-7.0,7.0,597,488,535,26
467,25.0,-9.0,9.0,597,481,542,26
500,25.0,-10.92,10.92,597,474,549,26
533,25.0,-12.64,12.64,597,468,555,26
567,25.0,-14.04,14.04,597,464,559,26
600,25.0,-15.07,15.07,597,460,563,26
633,25.0,-15.72,15.72,597,458,565,26
667,25.0,-15.96,15.96,597,457,566,26
700,25.0,-15.96,15.96,597,457,566,26
733,25.0,-15.97,15.97,597,457,566,26
767,25.0,-15.79,15.79,597,458,565,26
800,25.0,-15.35,15.35,597,459,564,26
833,25.0,-14.72,14.72,597,461,562,26
867,25.0,-14.0,14.0,597,464,559,26
900,25.0,-13.28,13.28,597,466,557,26
933,25.0,-12.65,12.65,597,468,555,26
967,25.0,-12.22,12.22,597,470,553,26
1000,25.0,-12.03,12.03,597,470,553,26
1033,25.0,-12.0,12.0,597,471,552,26
1067,25.0,-12.0,12.0,597,471,552,26
1100,25.0,-12.0,12.0,597,471,552,26
1133,25.0,-12.0,12.0,597,471,552,26
1167,25.0,-12.0,12.0,597,471,552,26
1200,25.0,-12.0,12.0,597,471,552,26
