t_ms,pan_deg,tilt_deg,nod_deg,pan_unit,tilt_unit,nod_unit,led
0,25.0,-12.0,15.0,597,471,563,26
33,25.0,-12.0,15.0,597,471,563,26
67,25.0,-12.0,15.0,597,471,563,26
100,25.0,-12.0,15.0,597,471,563,26
133,25.0,-12.0,15.0,597,471,563,26
167,25.0,-12.0,15.0,597,471,563,27
200,25.0,-12.0,15.0,597,471,563,28
233,25.0,-12.0,15.0,597,471,563,28
267,25.0,-12.0,15.0,597,471,563,29
300,25.0,-12.0,15.0,597,471,563,30
333,25.0,-12.0,15.0,597,471,563,31
367,25.0,-12.0,15.0,597,471,563,32
400,25.0,-12.0,15.0,597,471,563,34
433,25.0,-12.0,15.0,597,471,563,35
467,25.0,-12.0,15.0,597,471,563,37
500,25.0,-12.0,15.0,597,471,563,38
533,25.0,-12.0,15.0,597,471,563,40
567,25.0,-12.0,15.0,597,471,563,41
600,25.0,-12.0,15.0,597,471,563,43
633,25.0,-12.0,15.0,597,471,563,45
667,25.0,-12.0,15.0,597,471,563,47
700,25.0,-12.0,15.0,597,471,563,49
733,25.0,-12.0,15.0,597,471,563,51
767,25.0,-12.0,15.0,597,471,563,52
800,25.0,-12.0,15.0,597,471,563,54
833,25.0,-12.0,15.0,597,471,563,56
867,25.0,-12.0,15.0,597,471,563,59
900,25.0,-12.0,15.0,597,471,563,61
933,25.0,-12.0,15.0,597,471,563,63
967,25.0,-12.0,15.0,597,471,563,65
1000,25.0,-12.0,15.0,597,471,563,67
1033,25.0,-12.0,15.0,597,471,563,69
1067,25.0,-12.0,15.0,597,471,563,71
1100,25.0,-12.0,15.0,597,471,563,73
1133,25.0,-12.0,15.0,597,471,563,74
1167,25.0,-12.0,15.0,597,471,563,76
1200,25.0,-12.0,15.0,597,471,563,78
1233,25.0,-12.0,15.0,597,471,563,80
1267,25.0,-12.0,15.0,597,471,563,82
1300,25.0,-12.0,15.0,597,471,563,83
1333,25.0,-12.0,15.0,597,471,563,85
1367,25.0,-12.0,15.0,597,471,563,86
1400,25.0,-12.0,15.0,597,471,563,87
1433,25.0,-12.0,15.0,597,471,563,89
1467,25.0,-12.0,15.0,597,471,563,90
1500,25.0,-12.0,15.0,597,471,563,91
1533,25.0,-12.0,15.0,597,471,563,92
1567,25.0,-12.0,15.0,597,471,563,93
1600,25.0,-12.0,15.0,597,471,563,94
1633,25.0,-12.0,15.0,597,471,563,94
1667,25.0,-12.0,15.0,597,471,563,95
1700,25.0,-12.0,15.0,597,471,563,95
1733,25.0,-12.0,15.0,597,471,563,95
1767,25.0,-12.0,15.0,597,471,563,96
1800,25.0,-12.0,15.0,597,471,563,96
1833,25.0,-12.0,15.0,597,471,563,96
1867,25.0,-12.0,15.0,597,471,563,95
1900,25.0,-12.0,15.0,597,471,563,95
1933,25.0,-12.0,15.0,597,471,563,95
1967,25.0,-12.0,15.0,597,471,563,94
2000,25.0,-12.0,15.0,597,471,563,94
2033,25.0,-12.0,15.0,597,471,563,93
2067,25.0,-12.0,15.0,597,471,563,92
