t_ms,pan_deg,tilt_deg,nod_deg,pan_unit,tilt_unit,nod_unit,led
0,25.0,-12.0,12.0,597,471,552,96
33,25.0,-12.0,12.0,597,471,552,96
67,25.0,-12.0,12.0,597,471,552,96
100,25.0,-12.0,12.0,597,471,552,96
133,25.0,-12.0,12.0,597,471,552,96
167,25.0,-12.0,12.0,597,471,552,96
200,25.0,-12.0,12.0,597,471,552,96
233,25.0,-11.96,11.92,597,471,552,95
267,25.0,-11.74,11.42,597,471,550,95
300,25.0,-11.22,10.24,597,473,546,93
333,25.0,-10.34,8.27,597,476,540,89
367,25.0,-9.12,5.52,597,480,530,84
400,25.0,-7.6,2.09,597,486,519,78
433,25.0,-5.86,-1.82,597,492,505,71
467,25.0,-4.0,-6.0,597,498,491,64
500,25.0,-2.14,-10.18,597,504,477,56
533,25.0,-0.4,-14.09,597,510,463,49
567,25.0,1.12,-17.52,597,515,452,43
600,25.0,2.34,-20.27,597,519,442,38
633,25.0,3.22,-22.24,597,522,436,35
667,25.0,3.74,-23.42,597,524,432,33
700,25.0,3.96,-23.92,597,525,430,32
733,25.0,4.0,-24.0,597,525,430,32
767,25.0,4.0,-24.0,597,525,430,32
800,25.0,4.0,-24.0,597,525,430,32
833,25.0,4.0,-24.0,597,525,430,32
867,25.0,4.0,-24.0,597,525,430,32
900,25.0,4.0,-24.0,597,525,430,32
933,25.0,4.0,-24.0,597,525,430,32
967,25.0,4.0,-24.0,597,525,430,32
1000,25.0,4.0,-24.0,597,525,430,32
1033,28.5,4.0,-24.0,609,525,430,52
1067,31.06,4.0,-24.0,617,525,430,135
1100,32.0,4.0,-24.0,621,525,430,191
1133,31.06,4.0,-24.0,617,525,430,135
1167,28.5,4.0,-24.0,609,525,430,52
1200,25.0,4.0,-24.0,597,525,430,32
1233,21.5,4.0,-24.0,585,525,430,52
1267,18.94,4.0,-24.0,576,525,430,135
1300,18.0,4.0,-24.0,573,525,430,191
1333,18.94,4.0,-24.0,576,525,430,135
1367,21.5,4.0,-24.0,585,525,430,52
1400,25.0,4.0,-24.0,597,525,430,32
1433,26.91,4.0,-24.0,603,525,430,52
1467,28.3,4.0,-24.0,608,525,430,135
1500,28.82,4.0,-24.0,610,525,430,191
1533,28.3,4.0,-24.0,608,525,430,135
1567,26.91,4.0,-24.0,603,525,430,52
1600,25.0,4.0,-24.0,597,525,430,32
1633,23.09,4.0,-24.0,590,525,430,52
1667,21.7,4.0,-24.0,585,525,430,135
1700,21.18,4.0,-24.0,584,525,430,191
1733,21.7,4.0,-24.0,585,525,430,135
1767,23.09,4.0,-24.0,590,525,430,52
1800,25.0,4.0,-24.0,597,525,430,32
1833,25.0,3.98,-23.88,597,525,430,32
1867,25.0,3.86,-23.15,597,525,433,34
1900,25.0,3.59,-21.52,597,524,438,38
1933,25.0,3.16,-18.96,597,522,447,45
1967,25.0,2.61,-15.68,597,520,458,54
2000,25.0,2.0,-12.0,597,518,471,64
2033,25.0,1.39,-8.32,597,516,483,74
2067,25.0,0.84,-5.04,597,514,494,82
2100,25.0,0.41,-2.48,597,513,503,89
2133,25.0,0.14,-0.85,597,512,509,93
2167,25.0,0.02,-0.12,597,512,511,95
2200,25.0,0.0,0.0,597,512,512,96
2233,25.0,0.0,0.0,597,512,512,96
2267,25.0,0.0,0.0,597,512,512,96
2300,25.0,0.0,0.0,597,512,512,96
2333,25.0,0.0,0.0,597,512,512,96
2367,25.0,0.0,0.0,597,512,512,96
