t_ms,pan_deg,tilt_deg,nod_deg,pan_unit,tilt_unit,nod_unit,led
0,-25.0,-12.0,12.0,426,471,552,64
33,-25.0,-12.0,12.0,426,471,552,64
67,-25.0,-12.0,12.0,426,471,552,64
100,-25.0,-12.0,12.0,426,471,552,64
133,-25.0,-12.0,12.0,426,471,552,64
167,-25.0,-12.0,12.0,426,471,552,64
200,-25.0,-12.0,12.0,426,471,552,64
233,-25.0,-12.28,12.28,426,470,553,68
267,-25.0,-13.74,13.74,426,465,558,91
300,-25.0,-16.41,16.41,426,456,567,134
333,-25.0,-19.59,19.59,426,445,578,185
367,-25.0,-22.26,22.26,426,436,587,227
400,-25.0,-23.72,23.72,426,431,592,251
433,-25.0,-24.0,24.0,426,430,593,255
467,-25.0,-24.0,24.0,426,430,593,255
500,-25.0,-24.0,24.0,426,430,593,255
533,-25.0,-24.0,24.0,426,430,593,255
567,-25.0,-24.0,24.0,426,430,593,255
600,-25.0,-23.97,23.97,426,430,593,242
633,-25.0,-23.77,23.77,426,430,593,191
667,-25.0,-23.3,23.3,426,432,591,141
700,-25.0,-22.54,22.54,426,435,588,128
733,-25.0,-21.48,21.48,426,438,585,128
767,-25.0,-20.19,20.19,426,443,580,128
800,-25.0,-18.75,18.75,426,448,575,128
833,-25.0,-17.25,17.25,426,453,570,128
867,-25.0,-15.81,15.81,426,458,565,128
900,-25.0,-14.52,14.52,426,462,561,128
933,-25.0,-13.46,13.46,426,466,557,128
967,-25.0,-12.7,12.7,426,468,555,128
1000,-25.0,-12.23,12.23,426,470,553,128
1033,-25.0,-12.03,12.03,426,470,553,128
1067,-25.0,-12.0,12.0,426,471,552,128
1100,-25.0,-12.0,12.0,426,471,552,128
1133,-25.0,-12.0,12.0,426,471,552,128
1167,-25.0,-12.0,12.0,426,471,552,128
1200,-25.0,-12.0,12.0,426,471,552,128
1233,-25.0,-12.0,12.0,426,471,552,128
1267,-25.0,-12.0,12.0,426,471,552,128
1300,-25.0,-12.0,12.0,426,471,552,128
1333,-25.0,-12.0,12.0,426,471,552,128
1367,-25.0,-12.0,12.0,426,471,552,128
1400,-25.0,-12.0,12.0,426,471,552,128
1433,-25.0,-12.0,12.0,426,471,552,128
1467,-25.0,-12.0,12.0,426,471,552,128
1500,-25.0,-12.0,12.0,426,471,552,128
1533,-25.0,-12.0,12.0,426,471,552,128
1567,-25.0,-12.0,12.0,426,471,552,128
1600,-25.0,-12.0,12.0,426,471,552,128
1633,-25.0,-12.0,12.0,426,471,552,128
1667,-25.0,-12.0,12.0,426,471,552,128
1700,-25.0,-12.0,12.0,426,471,552,128
1733,-25.0,-12.0,12.0,426,471,552,128
