t_ms,pan_deg,tilt_deg,nod_deg,pan_unit,tilt_unit,nod_unit,led
0,60.0,-12.0,12.0,716,471,552,32
33,60.0,-11.17,13.04,716,473,556,55
67,60.0,-9.18,15.52,716,480,564,110
100,60.0,-6.82,18.48,716,488,575,176
133,60.0,-4.83,20.96,716,495,583,232
167,60.0,-4.0,22.0,716,498,587,255
200,60.0,-4.0,22.0,716,498,587,252
233,60.0,-4.0,22.0,716,498,587,242
267,60.0,-4.0,22.0,716,498,587,228
300,60.0,-4.0,22.0,716,498,587,211
333,60.0,-4.0,22.0,716,498,587,191
367,60.0,-4.19,21.77,716,497,586,171
400,60.0,-4.7,21.13,716,495,584,151
433,60.0,-5.46,20.17,716,493,580,131
467,60.0,-6.4,18.99,716,490,576,111
500,60.0,-7.46,17.68,716,486,572,93
533,60.0,-8.54,16.32,716,482,567,76
567,60.0,-9.6,15.01,716,479,563,61
600,60.0,-10.54,13.83,716,476,559,49
633,60.0,-11.3,12.87,716,473,555,40
667,60.0,-11.81,12.23,716,471,553,34
700,60.0,-12.0,12.0,716,471,552,32
733,60.0,-12.0,12.0,716,471,552,32
767,60.0,-12.0,12.0,716,471,552,32
800,60.0,-12.0,12.0,716,471,552,32
833,60.0,-12.0,12.0,716,471,552,32
867,60.0,-12.0,12.0,716,471,552,32
900,60.0,-12.0,12.0,716,471,552,32
933,60.0,-12.0,12.0,716,471,552,32
967,60.0,-12.0,12.0,716,471,552,32
1000,60.0,-12.0,12.0,716,471,552,32
1033,60.0,-12.0,12.0,716,471,552,32
1067,60.0,-12.0,12.0,716,471,552,32
1100,60.0,-12.0,12.0,716,471,552,32
1133,60.0,-11.17,13.04,716,473,556,55
1167,60.0,-9.18,15.52,716,480,564,110
1200,60.0,-6.82,18.48,716,488,575,176
1233,60.0,-4.83,20.96,716,495,583,232
1267,60.0,-4.0,22.0,716,498,587,255
1300,60.0,-4.0,22.0,716,498,587,252
1333,60.0,-4.0,22.0,716,498,587,242
1367,60.0,-4.0,22.0,716,498,587,228
1400,60.0,-4.0,22.0,716,498,587,211
1433,60.0,-4.0,22.0,716,498,587,191
1467,60.0,-4.19,21.77,716,497,586,171
1500,60.0,-4.7,21.13,716,495,584,151
1533,60.0,-5.46,20.17,716,493,580,131
1567,60.0,-6.4,18.99,716,490,576,111
1600,60.0,-7.46,17.68,716,486,572,93
1633,60.0,-8.54,16.32,716,482,567,76
1667,60.0,-9.6,15.01,716,479,563,61
1700,60.0,-10.54,13.83,716,476,559,49
1733,60.0,-11.3,12.87,716,473,555,40
1767,60.0,-11.81,12.23,716,471,553,34
1800,60.0,-12.0,12.0,716,471,552,32
1833,60.0,-12.0,12.0,716,471,552,32
1867,60.0,-12.0,12.0,716,471,552,32
1900,60.0,-12.0,12.0,716,471,552,32
1933,60.0,-12.0,12.0,716,471,552,32
1967,60.0,-12.0,12.0,716,471,552,32
2000,60.0,-12.0,12.0,716,471,552,32
2033,60.0,-12.0,12.0,716,471,552,32
2067,60.0,-12.0,12.0,716,471,552,32
2100,60.0,-12.0,12.0,716,471,552,32
2133,60.0,-12.0,12.0,716,471,552,32
2167,60.0,-12.0,12.0,716,471,552,32
2200,60.0,-12.0,12.0,716,471,552,32
