t_ms,pan_deg,tilt_deg,nod_deg,pan_unit,tilt_unit,nod_unit,led
0,0.0,-5.0,-8.0,512,494,484,13
33,-0.02,-5.0,-8.0,511,494,484,13
67,-0.15,-5.0,-8.0,511,494,484,13
100,-0.46,-5.0,-8.0,510,494,484,13
133,-0.99,-5.0,-8.0,508,494,484,13
167,-1.77,-5.0,-8.0,505,494,484,13
200,-2.77,-5.0,-8.0,502,494,484,13
233,-3.97,-5.0,-8.0,498,494,484,13
267,-5.32,-5.0,-8.0,493,494,484,13
300,-6.76,-5.0,-8.0,488,494,484,13
333,-8.24,-5.0,-8.0,483,494,484,13
367,-9.68,-5.0,-8.0,478,494,484,13
400,-11.03,-5.0,-8.0,474,494,484,13
433,-12.23,-5.0,-8.0,470,494,484,13
467,-13.23,-5.0,-8.0,466,494,484,13
500,-14.01,-5.0,-8.0,464,494,484,13
533,-14.54,-5.0,-8.0,462,494,484,17
567,-14.85,-5.0,-8.0,461,494,484,32
600,-14.98,-5.0,-8.0,460,494,484,47
633,-15.0,-5.0,-8.0,460,494,484,51
667,-14.99,-5.0,-8.0,460,494,484,49
700,-14.96,-5.0,-8.0,460,494,484,39
733,-14.86,-5.0,-8.0,461,494,484,25
767,-14.69,-5.0,-8.0,461,494,484,15
800,-14.42,-5.0,-8.0,462,494,484,13
833,-14.04,-5.0,-8.0,464,494,484,13
867,-13.55,-5.0,-8.0,465,494,484,13
900,-12.94,-5.0,-8.0,467,494,484,13
933,-12.21,-5.0,-8.0,470,494,484,13
967,-11.38,-5.0,-8.0,473,494,484,13
1000,-10.43,-5.0,-8.0,476,494,484,13
1033,-9.38,-5.0,-8.0,480,494,484,13
1067,-8.25,-5.0,-8.0,483,494,484,13
1100,-7.05,-5.0,-8.0,487,494,484,13
1133,-5.78,-5.0,-8.0,492,494,484,13
1167,-4.48,-5.0,-8.0,496,494,484,13
1200,-3.15,-5.0,-8.0,501,494,484,13
1233,-1.8,-5.0,-8.0,505,494,484,13
1267,-0.47,-5.0,-8.0,510,494,484,13
1300,0.83,-5.0,-8.0,514,494,484,13
1333,2.1,-5.0,-8.0,519,494,484,13
1367,3.3,-5.0,-8.0,523,494,484,13
1400,4.43,-5.0,-8.0,527,494,484,13
1433,5.48,-5.0,-8.0,530,494,484,13
1467,6.43,-5.0,-8.0,533,494,484,13
1500,7.26,-5.0,-8.0,536,494,484,13
1533,7.99,-5.0,-8.0,539,494,484,13
1567,8.6,-5.0,-8.0,541,494,484,13
1600,9.09,-5.0,-8.0,542,494,484,13
1633,9.47,-5.0,-8.0,544,494,484,13
1667,9.74,-5.0,-8.0,545,494,484,13
1700,9.91,-5.0,-8.0,545,494,484,15
1733,10.01,-5.0,-8.0,546,494,484,26
1767,10.04,-5.0,-8.0,546,494,484,36
1800,10.05,-5.0,-8.0,546,494,484,38
1833,10.03,-5.0,-8.0,546,494,484,37
1867,9.91,-5.0,-8.0,545,494,484,30
1900,9.6,-5.0,-8.0,544,494,484,21
1933,9.08,-5.0,-8.0,542,494,484,14
1967,8.31,-5.0,-8.0,540,494,484,13
2000,7.31,-5.0,-8.0,536,494,484,13
2033,6.1,-5.0,-8.0,532,494,484,13
2067,4.72,-5.0,-8.0,528,494,484,13
2100,3.22,-5.0,-8.0,522,494,484,13
2133,1.66,-5.0,-8.0,517,494,484,13
2167,0.1,-5.0,-8.0,512,494,484,13
2200,-1.41,-5.0,-8.0,507,494,484,13
2233,-2.79,-5.0,-8.0,502,494,484,13
2267,-4.0,-5.0,-8.0,498,494,484,13
2300,-5.0,-5.0,-8.0,494,494,484,13
2333,-5.76,-5.0,-8.0,492,494,484,13
2367,-6.29,-5.0,-8.0,490,494,484,15
2400,-6.59,-5.0,-8.0,489,494,484,21
2433,-6.71,-5.0,-8.0,489,494,484,28
2467,-6.73,-5.0,-8.0,489,494,484,30
2500,-6.73,-5.0,-8.0,489,494,484,29
2533,-6.73,-5.0,-8.0,489,494,484,24
2567,-6.72,-5.0,-8.0,489,494,484,18
2600,-6.69,-5.0,-8.0,489,494,484,14
2633,-6.66,-5.0,-8.0,489,494,484,13
2667,-6.6,-5.0,-8.0,489,494,484,13
2700,-6.54,-5.0,-8.0,489,494,484,13
2733,-6.45,-5.0,-8.0,490,494,484,13
2767,-6.34,-5.0,-8.0,490,494,484,13
2800,-6.22,-5.0,-8.0,490,494,484,13
2833,-6.08,-5.0,-8.0,491,494,484,13
2867,-5.91,-5.0,-8.0,491,494,484,13
2900,-5.73,-5.0,-8.0,492,494,484,13
2933,-5.53,-5.0,-8.0,493,494,484,13
2967,-5.32,-5.0,-8.0,493,494,484,13
3000,-5.09,-5.0,-8.0,494,494,484,13
3033,-4.85,-5.0,-8.0,495,494,484,13
3067,-4.6,-5.0,-8.0,496,494,484,13
3100,-4.33,-5.0,-8.0,497,494,484,13
3133,-4.06,-5.0,-8.0,498,494,484,13
3167,-3.79,-5.0,-8.0,499,494,484,13
3200,-3.51,-5.0,-8.0,500,494,484,13
3233,-3.23,-5.0,-8.0,500,494,484,13
3267,-2.95,-5.0,-8.0,501,494,484,13
3300,-2.67,-5.0,-8.0,502,494,484,13
3333,-2.4,-5.0,-8.0,503,494,484,13
3367,-2.14,-5.0,-8.0,504,494,484,13
3400,-1.88,-5.0,-8.0,505,494,484,13
3433,-1.64,-5.0,-8.0,506,494,484,13
3467,-1.41,-5.0,-8.0,507,494,484,13
3500,-1.2,-5.0,-8.0,507,494,484,13
3533,-1.0,-5.0,-8.0,508,494,484,13
3567,-0.82,-5.0,-8.0,509,494,484,13
3600,-0.66,-5.0,-8.0,509,494,484,13
3633,-0.51,-5.0,-8.0,510,494,484,13
3667,-0.39,-5.0,-8.0,510,494,484,13
3700,-0.28,-5.0,-8.0,511,494,484,13
3733,-0.2,-5.0,-8.0,511,494,484,13
3767,-0.13,-5.0,-8.0,511,494,484,13
3800,-0.08,-5.0,-8.0,511,494,484,13
3833,-0.04,-5.0,-8.0,511,494,484,13
3867,-0.02,-5.0,-8.0,511,494,484,13
3900,-0.01,-5.0,-8.0,511,494,484,13
3933,-0.0,-5.0,-8.0,512,494,484,13
3967,0.0,-5.0,-8.0,512,494,484,13
